VideoId,segment,sentiment analysis,yannis,sophia,giwrgos,text,,"
"
0,0,neutral,neutral,neutral,neutral,official diagnosis schizophrenic psychosis correct,,
0,1,negative,negative,negative,negative,I suffer hallucinations I see feel things real sorry,,
0,2,positive,positive,positive,positive,funny kind medication getting,,
0,3,positive,positive,positive,positive,hallucinations go away help decide real,,
0,4,positive,positive,positive,positive,help decide real real helped understand,,
1,0,positive,positive,positive,positive,going plan want yeah execution good I,,
1,1,positive,positive,positive,positive,yeah execution good I think would I think child,,
1,2,positive,positive,positive,positive,live daily times 's easy I said,,
1,3,neutral,neutral,neutral,neutral,'s times I think I've done I think things,,
1,4,negative,negative,negative,negative,boys said died 's real hard think,,
1,5,neutral,neutral,neutral,neutral,times try put everything mind look forward,,
1,6,neutral,negative,neutral,negative,mind look forward dying,,
1,7,neutral,neutral,neutral,neutral,n't think things anymore I know 's,,
2,0,negative,negative,negative,negative,believe I n't care I think serial killer 're wrong I think,,
2,1,negative,negative,negative,negative,serial killer 're wrong I think kill women yes I think,,
2,2,neutral,neutral,negative,neutral,'re done ca n't answer question,,
2,3,negative,negative,negative,negative,pound woman care kill villain game kill whole,,
3,0,positive,positive,positive,positive,countries 's really really important winning battle climate,,
3,1,positive,positive,positive,positive,winning battle climate change 's easy talk,,
3,2,positive,positive,positive,positive,change 's easy talk abstract technology transfer,,
3,3,neutral,neutral,neutral,neutral,abstract technology transfer technology needs developing countries,,
3,4,positive,neutral,neutral,neutral,technology needs developing countries earlier efforts resulted kind,,
3,5,positive,positive,neutral,positive,earlier efforts resulted kind large wish list needs countries,,
3,6,positive,neutral,positive,positive,large wish list needs countries really prioritized,,
3,7,positive,neutral,neutral,neutral,way n't national consensus build know kind,,
3,8,positive,positive,positive,neutral,consensus build know kind constituency change national,,
3,9,neutral,neutral,neutral,neutral,constituency change national level technology needs,,
3,10,neutral,neutral,neutral,negative,level technology needs assessment 's funded global,,
3,11,neutral,neutral,neutral,neutral,assessment 's funded global environment facility provide,,
3,12,neutral,neutral,neutral,neutral,needs country adaptation mitigation technologies,,
3,13,neutral,neutral,neutral,neutral,adaptation mitigation technologies prioritizing figuring,,
3,14,neutral,neutral,neutral,neutral,prioritizing figuring barriers stand way realizing,,
3,15,neutral,neutral,neutral,neutral,barriers stand way realizing technologies coming,,
3,16,neutral,neutral,positive,positive,highest levels government 've seen,,
3,17,positive,neutral,neutral,neutral,institutions national policy formation TAS kind,,
3,18,positive,neutral,neutral,neutral,TAS kind essential stepping stone,,
3,19,neutral,positive,positive,positive,essential stepping stone rational approach technology climate,,
3,20,positive,positive,neutral,neutral,n't instill children early age thirst learning kind,,
3,21,positive,positive,neutral,positive,age thirst learning kind interest self education might,,
3,22,positive,positive,positive,positive,education premise good I think TAS similar,,
3,23,positive,positive,positive,positive,good I think TAS similar know 's early stage investment,,
3,24,neutral,neutral,neutral,neutral,capacity country analyze technology develop,,
3,25,neutral,neutral,neutral,neutral,changes necessary bring climate technology country,,
3,26,neutral,neutral,neutral,neutral,bring climate technology country take technologies already,,
6,0,neutral,neutral,negative,negative,I n't remember thinking,,
6,1,neutral,neutral,neutral,neutral,Do remember telling ?,,
6,2,neutral,neutral,neutral,negative,What think I try remind ?,,
6,3,neutral,negative,neutral,negative,"hospital I needed I needed treatment ,",,
6,4,neutral,neutral,positive,neutral,see I could possibility work another day,,
6,5,positive,positive,positive,positive,Absolutely nothing . There one I could see I 'd glad see,,
6,6,neutral,neutral,negative,negative,There nothing anybody could say,,
6,7,positive,positive,positive,positive,I enjoyed fact people enjoyed telling jokes would give good impression,,
6,8,neutral,neutral,positive,neutral,I think reason I could still ... I 'd try muster,,
6,9,neutral,neutral,neutral,neutral,"Probably , . Probably n't belong .",,
6,10,neutral,neutral,neutral,neutral,I man snap .,,
6,11,negative,negative,negative,negative,That made feel worse .,,
6,12,negative,negative,negative,negative,`` oh well snap '' person feels worse think ca n't .,,
6,13,positive,negative,negative,negative,"Well , lot people say `` oh , I feel kind depressed today ''",,
6,14,neutral,negative,negative,negative,"I think everybody ups downs life know ,",,
6,15,neutral,negative,negative,negative,'s comparison..I ups downs I ever one,,
6,16,neutral,negative,negative,negative,ups downs life know,,
6,17,positive,positive,positive,positive,"`` well , tomorrow I 'm gon na feel better , sun shining '' 're",,
6,18,negative,negative,negative,negative,"type depression I speak , n't matter whether 's black",,
6,19,neutral,positive,positive,positive,"night , whether sun shining , whether 's pouring rain 's snowing anything else",,
6,20,positive,negative,negative,negative,nothing looks like looks good . It 's blackness,,
6,21,negative,negative,negative,negative,"It 's difficult putting words , though 's old saying",,
6,22,negative,negative,negative,negative,"place called hell bad people go 're dead , die",,
6,23,negative,negative,negative,negative,"worst part Hell flames , 's hopelessness",,
6,24,negative,negative,negative,negative,"hopelessness , terrible hopelessness comes . Everything black.There 's nothing ...",,
6,25,neutral,neutral,neutral,neutral,For instance I 'd say 's use getting 's use,,
6,26,negative,negative,negative,negative,"'s pointless , 's going end death .",,
6,27,neutral,neutral,neutral,neutral,"whether I arranged , whether I sit .",,
7,0,negative,negative,negative,negative,stupid I admit I 'm pity whatever I never success anything,,
7,1,negative,negative,negative,negative,never success anything I even got point I n't,,
7,2,positive,positive,positive,positive,I even got point I want success anything,,
7,3,negative,negative,negative,negative,give back 's stupid little game know,,
7,4,negative,negative,negative,negative,'s stupid little game know awareness consciousness 's,,
7,5,neutral,neutral,neutral,neutral,somebody goes school mom dad see,,
7,6,neutral,neutral,neutral,neutral,mom dad see parents left another,,
7,7,neutral,neutral,neutral,neutral,parents left another dimension say know I n't,,
7,8,negative,negative,negative,negative,dimension say know I bad going nothing I n't,,
7,9,negative,negative,negative,negative,bad going nothing I judge Hollywood think much,,
7,10,positive,negative,negative,negative,fact I n't two three girls help I would pretty much lost,,
7,11,positive,positive,positive,positive,I 've never killed anyone I n't need kill anyone I think I,,
7,12,negative,negative,negative,negative,seven years well 's convict failure I mean I mean,,
7,13,neutral,negative,neutral,negative,dope related kept feeding,,
7,14,neutral,neutral,negative,neutral,kept feeding spiritual aspects,,
7,15,neutral,neutral,negative,neutral,spiritual aspects bunch guys kids,,
7,16,neutral,neutral,neutral,neutral,bunch guys kids living thing,,
7,17,neutral,negative,neutral,neutral,fertilized grocery stores sold nickels dimes busted open stamp,,
7,18,neutral,negative,neutral,negative,nickels dimes busted open stamp machine stole automobiles,,
7,19,neutral,neutral,neutral,negative,bums winos life street world I n't I n't,,
10,0,negative,negative,negative,negative,This gon na make lot people sad,,
10,1,positive,positive,positive,positive,Quit wanting cool kids accept,,
10,2,negative,positive,positive,positive,"Perfection I quit fear failure fear success I quit hesitation desperation expectations devastations , I quit",,
10,3,positive,positive,positive,positive,And I amazing new life,,
10,4,positive,positive,positive,positive,Hey guys know I 've quit live happier life,,
10,5,positive,positive,positive,positive,I want hear story way quit . We 've got great goodies prizes available limited time,,
8,0,negative,negative,negative,negative,'s terrible man Stephanie thank,,
8,1,neutral,neutral,neutral,neutral,Cantor I ordered dinner apartment extent day fasting,,
