segment,sentiment analysis,yannis,sophia,giwrgos,text,,"
"
0,positive,neutral,postive,neutral,refugees making refugee claim free ticket Canada,,
1,positive,neutral,positive,neutral,free ticket Canada refugee system n't seeking,,
2,neutral,negative,negative,positive,provide protection prove would face persecution,,
3,negative,negative,negative,neutral,criminality checks crossing border way also dangerous may,,
4,negative,negative,negative,negative,way also dangerous may put family risk,,
5,neutral,neutral,neutral,neutral,need refugee protection specific,,
6,positive,positive,neutral,neutral,may able return United States importantly,,
7,neutral,neutral,neutral,positive,likely sent country origin put life built,,
8,neutral,neutral,neutral,positive,refugee system visiting website information canada 's asylum system,,
9,neutral,neutral,neutral,neutral,information canada 's asylum system visit canada CA / asylum Canada,,
10,positive,positive,positive,positive,website learn opportunities come Canada safe legal,,
11,positive,positive,positive,positive,come Canada safe legal way information ways visit,,
12,neutral,neutral,neutral,positive,way information ways visit study work visit Canada CA / immigration,,
13,neutral,neutral,neutral,neutral,study work visit Canada CA / immigration message Government,,
14,neutral,neutral,neutral,neutral,Canada [ Music ],,
0,positive,neutral,neutral,neutral,'re sleeping till four o'clock afternoon like something 's right,,
1,positive,neutral,neutral,neutral,afternoon like something 's right need see somebody mentioned,,
2,positive,positive,positive,positive,kid happy I think like parent want,,
3,positive,positive,positive,positive,I think like parent want kid safe successful whatnot,,
4,positive,positive,positive,positive,kid safe successful whatnot reason mom signed,,
5,neutral,neutral,neutral,neutral,reason mom signed after-school classes,,
6,positive,neutral,neutral,positive,book hands times made sure I homework made,,
7,positive,positive,positive,positive,made sure I homework made sure I achieved correct,,
8,positive,neutral,positive,positive,money go well yeah I mean kind nest egg,,
9,positive,positive,positive,negative,passed away sort Queen much think like,,
10,positive,neutral,positive,neutral,much think like money allowing go,,
11,neutral,negative,neutral,neutral,impacted life immensely education 's 's,,
12,neutral,neutral,neutral,positive,I got know Cadillac version colon removed two feet,,
13,neutral,negative,negative,negative,colon removed two feet I think cancerous intestine ends,,
14,neutral,negative,negative,negative,I think cancerous intestine ends passing away 30s 10,,
15,negative,negative,negative,negative,I mean losing parent young ages I think worst thing,,
16,negative,negative,negative,negative,I think worst thing lose child I I,,
17,negative,negative,negative,negative,'s soon know 's terrible way die,,
18,negative,negative,negative,negative,know 's terrible way die I remember little,,
19,positive,positive,positive,neutral,explodes kind manage n't know 's,,
20,neutral,positive,positive,positive,everything lives forever 're University Texas,,
21,neutral,negative,positive,negative,'re University Texas dost grandma passes away,,
22,neutral,negative,negative,negative,dost grandma passes away 're short time,,
23,negative,negative,negative,negative,'re short time 're dead ends passing away,,
24,positive,positive,neutral,neutral,aunts uncles I n't mom dad I I give thanks know,,
25,positive,positive,positive,neutral,mom dad I I give thanks know people life helped,,
26,neutral,positive,positive,positive,people life helped reorient time,,
27,positive,positive,positive,positive,reorient time really close family friends,,
28,positive,positive,positive,neutral,really close family friends Simmons Clarks Wilsons,,
29,neutral,neutral,neutral,neutral,Simmons Clarks Wilsons got know father look,,
30,positive,positive,positive,positive,high school father adorable gave us flowers,,
31,positive,positive,positive,positive,adorable gave us flowers John graduated said thanks,,
32,positive,positive,positive,positive,John graduated said thanks mother son instinct,,
33,positive,neutral,positive,neutral,busy I think making sure support,,
34,positive,positive,positive,positive,think making sure support little sense love community,,
35,negative,negative,negative,negative,know loss parent really really sad age 're 20,,
36,negative,negative,negative,negative,sad age 're 20 n't mother father,,
37,neutral,neutral,neutral,neutral,hit us individually met,,
38,positive,positive,positive,neutral,'s okay know 're gon na okay got kind get back,,
39,positive,neutral,positive,neutral,o'clock afternoon like something 's right need see,,
40,positive,positive,positive,neutral,something 's right need see somebody 're 're well,,
41,positive,positive,positive,neutral,Midwestern like n't worry I 'm fine 's fine fine,,
42,positive,positive,positive,positive,I 'm fine 's fine fine friend said even knew,,
43,positive,positive,positive,positive,friend said even knew struggling always brave,,
44,positive,positive,positive,positive,well yeah I mean 's think 's 're kind taught,,
45,positive,positive,positive,neutral,'s 're kind taught whatever polite Midwesterners like,,
46,positive,positive,positive,neutral,n't worry something I want overshare fine know seeing,,
47,positive,neutral,positive,positive,overshare fine know seeing seeing therapist time,,
48,positive,neutral,positive,neutral,quite figure able really kind reorient I might,,
49,positive,neutral,positive,neutral,really kind reorient I might kind way thinking put,,
50,positive,positive,positive,positive,brain chemistry enough okay I'm I 'm feeling little better I I,,
51,positive,negative,negative,neutral,interesting stigma know people think break ankle 're,,
52,neutral,neutral,positive,neutral,reason I take meetings kids come say I 've tried,,
53,neutral,neutral,neutral,neutral,tell give 's LA 's,,
54,neutral,neutral,neutral,neutral,big reason I wanted go back teach 's big reason I try,,
0,neutral,positive,positive,positive,still vote helped people helped people,,
1,neutral,positive,positive,positive,people helped people voters Louisiana acknowledged,,
2,positive,neutral,positive,neutral,'s associated two things many people resent health care law,,
3,positive,neutral,neutral,neutral,n't changed since early 1900s 's super rural know,,
4,positive,neutral,neutral,neutral,'s super rural know tapped internet city,,
6,positive,positive,positive,neutral,n't want know partake society often kind way,,
7,negative,negative,negative,negative,'s 's 's duh racism like responded though,,
